"Date","Time","Visibility","Temperature","Humidity","Pressure","Wind","Longitude","Latitude"
"2019-12-01","20:00",5.77,0.8,100,1008.5,4.3,-71.3831389996644,41.7856939996793
"2019-12-01","21:00",4.33,1.2,100,1007.6,6.6,-71.3831389996644,41.7856939996793
"2019-12-01","22:00",4.14,1.1,100,1006.8,4.6,-71.3831389996644,41.7856939996793
"2019-12-01","23:00",7.33,1.2,100,1006.1,5.4,-71.3831389996644,41.7856939996793
"2019-12-02","04:00",5.54,3.4,97.5,1000.7,5.5,-71.3831389996644,41.7856939996793
"2019-12-02","05:00",5.36,3.7,98.7,1000.8,5.4,-71.3831389996644,41.7856939996793
"2019-12-02","06:00",6.2,3.7,98.3,1000.4,5.9,-71.3831389996644,41.7856939996793
"2019-12-02","07:00",4.46,3.7,100,1001,5.3,-71.3831389996644,41.7856939996793
"2019-12-02","08:00",6.06,3.8,100,1001,5.2,-71.3831389996644,41.7856939996793
"2019-12-02","09:00",5.09,4.1,100,1001.5,5.9,-71.3831389996644,41.7856939996793
"2019-12-02","10:00",5.46,4.7,99.8,1000.8,6.3,-71.3831389996644,41.7856939996793
"2019-12-02","11:00",4.33,4.9,98.3,1000.2,6.9,-71.3831389996644,41.7856939996793
"2019-12-02","12:00",7.65,4.9,94.4,999.3,9.7,-71.3831389996644,41.7856939996793
"2019-12-02","13:00",8.26,5,92.7,999.3,6.8,-71.3831389996644,41.7856939996793
"2019-12-02","14:00",7.79,4.7,95.2,999.2,6.4,-71.3831389996644,41.7856939996793
"2019-12-02","16:00",8.2,1.7,100,999,5.7,-71.3831389996644,41.7856939996793
"2019-12-02","17:00",5.01,1,100,999.1,6.4,-71.3831389996644,41.7856939996793
"2019-12-02","18:00",2.06,0,100,999.6,7.4,-71.3831389996644,41.7856939996793
"2019-12-02","19:00",3.45,-0.5,100,999.1,7.8,-71.3831389996644,41.7856939996793
"2019-12-02","20:00",2.62,-0.7,92.9,999,8.9,-71.3831389996644,41.7856939996793
"2019-12-02","21:00",4.92,-1.1,89.4,998.3,9.7,-71.3831389996644,41.7856939996793
"2019-12-03","04:00",1.41,-1.4,90.4,995,8.4,-71.3831389996644,41.7856939996793
"2019-12-03","05:00",0.86,-1.6,100,994.7,6.9,-71.3831389996644,41.7856939996793
"2019-12-03","06:00",0.77,-1.7,100,994.6,6.7,-71.3831389996644,41.7856939996793
"2019-12-03","07:00",2.65,-1.2,96.3,994.8,5.8,-71.3831389996644,41.7856939996793
"2019-12-03","08:00",2.17,-1,98.1,994.7,6.3,-71.3831389996644,41.7856939996793
"2019-12-03","09:00",2.77,-0.5,94.2,994.7,4.1,-71.3831389996644,41.7856939996793
